id,year,security_council_member,last_update
939,2013,United Kingdom of Great Britain and Northern Ireland,2021-01-17
940,2013,United States of America,2021-01-17
941,2014,Argentina,2021-01-17
942,2014,Australia,2021-01-17
943,2014,Chad,2021-01-17
944,2014,Chile,2021-01-17
945,2014,China,2021-01-17
946,2014,France,2021-01-17
947,2014,Jordan,2021-01-17
948,2014,Lithuania,2021-01-17
949,2014,Luxembourg,2021-01-17
950,2014,Nigeria,2021-01-17
951,2014,Republic of Korea,2021-01-17
952,2014,Russian Federation,2021-01-17
953,2014,Rwanda,2021-01-17
954,2014,United Kingdom of Great Britain and Northern Ireland,2021-01-17
955,2014,United States of America,2021-01-17
956,2015,Angola,2021-01-17
957,2015,Chad,2021-01-17
958,2015,Chile,2021-01-17
959,2015,China,2021-01-17
960,2015,France,2021-01-17
961,2015,Jordan,2021-01-17
962,2015,Lithuania,2021-01-17
963,2015,Malaysia,2021-01-17
964,2015,New Zealand,2021-01-17
965,2015,Nigeria,2021-01-17
966,2015,Russian Federation,2021-01-17
967,2015,Spain,2021-01-17
968,2015,United Kingdom of Great Britain and Northern Ireland,2021-01-17
969,2015,United States of America,2021-01-17
970,2015,Venezuela (Bolivarian Republic of),2021-01-17
971,2016,Angola,2021-01-17
972,2016,China,2021-01-17
973,2016,Egypt,2021-01-17
974,2016,France,2021-01-17
975,2016,Japan,2021-01-17
976,2016,Malaysia,2021-01-17
977,2016,New Zealand,2021-01-17
978,2016,Russian Federation,2021-01-17
979,2016,Senegal,2021-01-17
980,2016,Spain,2021-01-17
981,2016,Ukraine,2021-01-17
982,2016,United Kingdom of Great Britain and Northern Ireland,2021-01-17
983,2016,United States of America,2021-01-17
984,2016,Uruguay,2021-01-17
985,2016,Venezuela (Bolivarian Republic of),2021-01-17
986,2017,Bolivia (Plurinational State of),2021-01-17
987,2017,China,2021-01-17
988,2017,Egypt,2021-01-17
989,2017,Ethiopia,2021-01-17
990,2017,France,2021-01-17
991,2017,Italy,2021-01-17
992,2017,Japan,2021-01-17
993,2017,Kazakhstan,2021-01-17
994,2017,Russian Federation,2021-01-17
995,2017,Senegal,2021-01-17
996,2017,Sweden,2021-01-17
997,2017,Ukraine,2021-01-17
998,2017,United Kingdom of Great Britain and Northern Ireland,2021-01-17
999,2017,United States of America,2021-01-17
1000,2017,Uruguay,2021-01-17
1001,2018,Bolivia (Plurinational State of),2021-01-17
1002,2018,China,2021-01-17
1003,2018,,2021-01-17
1004,2018,Equatorial Guinea,2021-01-17
1005,2018,Ethiopia,2021-01-17
1006,2018,France,2021-01-17
1007,2018,Kazakhstan,2021-01-17
1008,2018,Kuwait,2021-01-17
1009,2018,Netherlands,2021-01-17
1010,2018,Peru,2021-01-17
1011,2018,Poland,2021-01-17
1012,2018,Russian Federation,2021-01-17
1013,2018,Sweden,2021-01-17
1014,2018,United Kingdom of Great Britain and Northern Ireland,2021-01-17
1015,2018,United States of America,2021-01-17
1016,2019,Belgium,2021-01-17
1017,2019,China,2021-01-17
1018,2019,,2021-01-17
1019,2019,Dominican Republic,2021-01-17
1020,2019,Equatorial Guinea,2021-01-17
1021,2019,France,2021-01-17
1022,2019,Germany,2021-01-17
1023,2019,Indonesia,2021-01-17
1024,2019,Kuwait,2021-01-17
1025,2019,Peru,2021-01-17
1026,2019,Poland,2021-01-17
1027,2019,Russian Federation,2021-01-17
1028,2019,South Africa,2021-01-17
1029,2019,United Kingdom of Great Britain and Northern Ireland,2021-01-17
1030,2019,United States of America,2021-01-17
1031,2020,Belgium,2021-01-17
1032,2020,China,2021-01-17
1033,2020,Dominican Republic,2021-01-17
1034,2020,Estonia,2021-01-17
1035,2020,France,2021-01-17
1036,2020,Germany,2021-01-17
1037,2020,Indonesia,2021-01-17
1038,2020,Niger,2021-01-17
1039,2020,Russian Federation,2021-01-17
1040,2020,Saint Vincent and the Grenadines,2021-01-17
1041,2020,South Africa,2021-01-17
1042,2020,Tunisia,2021-01-17
1043,2020,United Kingdom of Great Britain and Northern Ireland,2021-01-17
1044,2020,United States of America,2021-01-17
1045,2020,Viet Nam,2021-01-17
1046,2021,China,2021-01-17
1047,2021,Estonia,2021-01-17
1048,2021,France,2021-01-17
1049,2021,India,2021-01-17
1050,2021,Ireland,2021-01-17
1051,2021,Kenya,2021-01-17
1052,2021,Mexico,2021-01-17
1053,2021,Niger,2021-01-17
1054,2021,Norway,2021-01-17
1055,2021,Russian Federation,2021-01-17
1056,2021,Saint Vincent and the Grenadines,2021-01-17
1057,2021,Tunisia,2021-01-17
1058,2021,United Kingdom of Great Britain and Northern Ireland,2021-01-17
1059,2021,United States of America,2021-01-17
1060,2021,Viet Nam,2021-01-17
1061,2022,China,2021-01-17
1062,2022,France,2021-01-17
1063,2022,India,2021-01-17
1064,2022,Ireland,2021-01-17
1065,2022,Kenya,2021-01-17
1066,2022,Mexico,2021-01-17
1067,2022,Norway,2021-01-17
1068,2022,Russian Federation,2021-01-17
1069,2022,United Kingdom of Great Britain and Northern Ireland,2021-01-17
1070,2022,United States of America,2021-01-17
1071,2022,United Arab Emirates,2021-06-11
1072,2022,Brazil,2021-06-11
1073,2022,Gabon,2021-06-11
1074,2022,Ghana,2021-06-11
1075,2022,Albania,2021-06-11
1076,2023,Albania,2021-06-11
1077,2023,Brazil,2021-06-11
1078,2023,Gabon,2021-06-11
1079,2023,Ghana,2021-06-11
1080,2023,United Arab Emirates,2021-06-11
1081,2023,United States of America,2021-06-11
1082,2023,United Kingdom of Great Britain and Northern Ireland,2021-06-11
1083,2023,Russian Federation,2021-06-11
1084,2023,France,2021-06-11
1085,2023,China,2021-06-11
1086,2023,Ecuador,2022-06-09
1087,2023,Japan,2022-06-09
1088,2023,Malta,2022-06-09
1089,2023,Mozambique,2022-06-09
1090,2023,Switzerland,2022-06-09
1091,2024,Algeria,2023-06-06
1092,2024,Guyana,2023-06-06
1093,2024,Republic of Korea,2023-06-06
1094,2024,Sierra Leone,2023-06-06
1095,2024,Slovenia,2023-06-06
1096,2024,China,2023-06-06
1097,2024,France,2023-06-06
1098,2024,Russian Federation,2023-06-06
1099,2024,United Kingdom of Great Britain and Northern Ireland,2023-06-06
1100,2024,United States of America,2023-06-06
1101,2024,Mozambique,2023-06-06
1102,2024,Ecuador,2023-06-06
1103,2024,Japan,2023-06-06
1104,2024,Malta,2023-06-06
1105,2024,Switzerland,2023-06-06
